,s0_y_125,s0_y_250,s0_y_1000,s0_RT_125,s0_RT_250,s0_RT_1000,s1_y_125,s1_y_250,s1_y_1000,s1_RT_125,s1_RT_250,s1_RT_1000
s0_y_125,1.0,0.9740147172663708,0.9667870101125824,0.6469661081072052,0.7361903643125796,0.6805052962991719,0.9812545099116257,0.9740723642249717,0.9668023663394136,0.6425659703485859,0.7354625404748781,0.6797530329072861
s0_y_250,0.9740147172663708,1.0,0.980429827673008,0.6466831520873989,0.7436724322842786,0.6916847787657128,0.974048297340024,0.9839549481952641,0.9804476299490998,0.6468152679673078,0.7390614135385718,0.6908416704910634
s0_y_1000,0.9667870101125824,0.980429827673008,1.0,0.6370808444605137,0.733565605641629,0.7030977856843657,0.9667842624818755,0.9804801371213616,0.9855773183482847,0.6370246858316921,0.7331049609499164,0.6975890736057452
s0_RT_125,0.6469661081072052,0.6466831520873989,0.6370808444605137,1.0,0.5771611845659119,0.49408232519808654,0.6425291254031246,0.6466030417006842,0.6370669234219282,0.5098359628364008,0.5768354582425997,0.4938475217428144
s0_RT_250,0.7361903643125796,0.7436724322842786,0.733565605641629,0.5771611845659119,1.0,0.5353194709978466,0.736195497504555,0.7396482937628515,0.7336575268033138,0.5768043003691262,0.6048860706595939,0.5350272878451222
s0_RT_1000,0.6805052962991719,0.6916847787657128,0.7030977856843657,0.49408232519808654,0.5353194709978466,1.0,0.6806843955706239,0.6917966751380443,0.6983024600478646,0.49380788345860455,0.534871089450464,0.5078731595183774
s1_y_125,0.9812545099116257,0.974048297340024,0.9667842624818755,0.6425291254031246,0.736195497504555,0.6806843955706239,1.0,0.9740716237849844,0.9667575146267771,0.6472079167163265,0.7354988657776972,0.6796729543793487
s1_y_250,0.9740723642249717,0.9839549481952641,0.9804801371213616,0.6466030417006842,0.7396482937628515,0.6917966751380443,0.9740716237849844,1.0,0.9804752559151433,0.6466447993320298,0.7431407848608768,0.6909882793968949
s1_y_1000,0.9668023663394136,0.9804476299490998,0.9855773183482847,0.6370669234219282,0.7336575268033138,0.6983024600478646,0.9667575146267771,0.9804752559151433,1.0,0.6370486235858491,0.733159746510454,0.7022136561786646
s1_RT_125,0.6425659703485859,0.6468152679673078,0.6370246858316921,0.5098359628364008,0.5768043003691262,0.49380788345860455,0.6472079167163265,0.6466447993320298,0.6370486235858491,1.0,0.5772454783635701,0.49398562297315884
s1_RT_250,0.7354625404748781,0.7390614135385718,0.7331049609499164,0.5768354582425997,0.6048860706595939,0.534871089450464,0.7354988657776972,0.7431407848608768,0.733159746510454,0.5772454783635701,1.0,0.5349381836589228
s1_RT_1000,0.6797530329072861,0.6908416704910634,0.6975890736057452,0.4938475217428144,0.5350272878451222,0.5078731595183774,0.6796729543793487,0.6909882793968949,0.7022136561786646,0.49398562297315884,0.5349381836589228,1.0
